date,kalshi_category,pnl_gross,pnl_net,fees_taker,fees_maker,contracts_settled
2026-03-18,Other non-sports,-54.53,-62.07,7.54,0.0,6050
2026-03-18,Parlays,-752384.79,-1095047.75,342662.96,0.0,48297102
2026-03-18,Politics,-4546.99,-5057.92,510.93,0.0,126592
2026-03-18,Science and Technology,12765.51,12462.56,302.95,5.38,49694
2026-03-19,Climate and Weather,-23892.97,-29557.5,5664.53,0.0,1600089
2026-03-19,Companies,-30.89,-33.19,2.3,0.0,633
2026-03-19,Crypto,-170354.52,-363618.23,193263.71,0.0,20008947
2026-03-19,Economics,-1028.35,-1198.07,169.72,23.44,43247
2026-03-19,Elections,-4550.88,-4819.09,268.21,0.0,25003
2026-03-19,Entertainment,-16346.09,-18353.68,2007.59,0.0,434486
2026-03-19,Financials,-930.86,-1095.34,164.48,0.0,39290
2026-03-19,Mentions,-189173.89,-210926.75,21752.86,0.0,4208729
2026-03-19,Non-parlay sports,-3713485.52,-8088503.02,4375017.5,1009626.0,441555855
2026-03-19,Other non-sports,3.64,3.4,0.24,0.0,52
2026-03-19,Parlays,-1410784.54,-1861112.15,450327.61,0.0,67526933
2026-03-19,Politics,-5020.72,-5615.21,594.49,0.0,131150
2026-03-19,Science and Technology,127.25,-88.2,215.45,7.07,61551
2026-03-19,Unknown,-19.6,-19.64,0.04,0.0,40
2026-03-20,Climate and Weather,28949.1,22356.23,6592.87,0.0,1153110
2026-03-20,Companies,24.2,20.97,3.23,0.03,474
2026-03-20,Crypto,-20196.12,-250966.81,230770.69,0.0,21925193
2026-03-20,Economics,-68.34,-305.83,237.49,8.68,19845
2026-03-20,Elections,-433.87,-792.92,359.05,0.0,28998
2026-03-20,Entertainment,-14122.69,-16005.27,1882.58,0.0,365881
2026-03-20,Financials,-489.68,-508.54,18.86,0.0,2499
2026-03-20,Mentions,-19648.91,-27447.94,7799.03,0.0,1106097
2026-03-20,Non-parlay sports,-1784986.86,-5935374.93,4150388.07,936756.65,393168405
2026-03-20,Other non-sports,1.25,1.16,0.09,0.0,125
2026-03-20,Parlays,1980423.86,1513015.5,467408.36,0.0,67405853
2026-03-20,Politics,504.79,-436.93,941.72,0.0,125999
2026-03-20,Science and Technology,70061.2,67171.98,2889.22,8.92,340239
2026-03-21,Climate and Weather,-2442.7,-6653.81,4211.11,0.0,1013808
2026-03-21,Companies,-1883.6,-2001.32,117.72,0.0,15368
2026-03-21,Crypto,133176.84,-122731.64,255908.48,0.0,23553529
2026-03-21,Economics,692.81,561.72,131.09,4.31,9400
2026-03-21,Elections,-1489.53,-1878.83,389.3,0.0,37101
2026-03-21,Entertainment,-14566.38,-16437.07,1870.69,0.0,335466
2026-03-21,Financials,-437.34,-462.3,24.96,0.0,5785
2026-03-21,Mentions,-11298.47,-16967.23,5668.76,0.0,1135661
2026-03-21,Non-parlay sports,1735235.26,-2456211.68,4191446.94,854268.38,382900299
